stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\eduardo.msantos28\source\repos\PI2-BCC\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\eduardo.msantos28\source\repos\PI2-BCC\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00061] Also searching C:\Users\eduardo.msantos28\source\repos\PI2-BCC\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00157] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00165] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00672] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.04736] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.04845] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.04862] al_display=0000028ADD47B650
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.04870] al_display->vt=0000028ADD47B4A0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05328] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.05343] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05356] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05362] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05370] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05382] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05388] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05394] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05401] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05414] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05426] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05432] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05439] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05453] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05464] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05476] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05484] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05490] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05496] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05503] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05508] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05515] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05521] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05527] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05532] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05537] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05541] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05545] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05551] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05557] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05561] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05568] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05573] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05577] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05583] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05589] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05595] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05601] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05607] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05613] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05619] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05624] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05630] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05635] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05640] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05652] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05658] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05664] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05670] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05675] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05680] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05685] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.05691] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05697] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.05701] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.05711] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.05716] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05722] Score is : 897
